java -jar itc2021.jar ITC2021_Late_15.xml ITC2021_Late_15Soln.xml -start ITC2021_Late_15Soln.xml -seed 1 -time 7200 -verbose 0 -fixOptTime 100

Instance....: Late 15
Algorithm...: ILS (rnaMax=500K, itersP=10, p0=3, pMax=60)
Other params: maxIters=10K, seed=1, timeLimit=7200.00s

    /------------------------------------------------------------\
    |     Iter |   Gap(%) |         S* |         S' |       Time | 
    |----------|----------|------------|------------|------------|
Solution file ITC2021_Late_15Soln.xml could not be found or read!
Building initial solution instead.
Academic license - for non-commercial use only - expires 2021-06-13
    |        0 |        - |   41_12075 |   41_12075 |       0.36 | s0
    |        0 |        - |   38_10395 |   38_10395 |       0.36 | *
    |        1 |        - |   37_10380 |   37_10380 |       0.36 | *
    |        2 |        - |    30_9290 |    30_9290 |       0.37 | *
    |        3 |        - |    30_8980 |    30_8980 |       0.37 | *
    |        4 |        - |    30_8955 |    30_8955 |       0.37 | *
    |        5 |        - |    30_8830 |    30_8830 |       0.37 | *
    |        7 |        - |    29_8930 |    29_8930 |       0.38 | *
    |        9 |        - |    28_8790 |    28_8790 |       0.38 | *
    |       10 |        - |    25_8105 |    25_8105 |       0.38 | *
    |       12 |        - |    24_7805 |    24_7805 |       0.38 | *
    |       14 |        - |    23_7800 |    23_7800 |       0.38 | *
    |       15 |        - |    22_6365 |    22_6365 |       0.38 | *
    |       16 |        - |    21_6370 |    21_6370 |       0.38 | *
    |       17 |        - |    21_6360 |    21_6360 |       0.39 | *
    |       23 |        - |    20_6140 |    20_6140 |       0.39 | *
    |       24 |        - |    12_6000 |    12_6000 |       0.67 | *
    |       27 |        - |     8_5995 |     8_5995 |       0.87 | *
    |       28 |        - |     7_6760 |     7_6760 |       1.06 | *
    |       36 |        - |     7_6650 |     7_6650 |       1.15 | *
    |       37 |        - |     6_6905 |     6_6905 |       1.49 | *
    |       45 |        - |     6_6525 |     6_6525 |       1.57 | *
    |       48 |        - |     5_5740 |     5_5740 |       1.81 | *
    |       50 |        - |     5_5665 |     5_5665 |       1.81 | *
    |       53 |        - |     4_5760 |     4_5760 |       1.93 | *
    |       64 |        - |     3_5585 |     3_5585 |       2.24 | *
    |       67 |        - |     3_5450 |     3_5450 |       2.40 | *
