java -jar itc2021.jar ITC2021_Middle_2.xml ITC2021_Middle_2Soln.xml -start ITC2021_Middle_2Soln.xml -seed 1 -time 10800 -verbose 0 -fixOptTime 100

Instance....: Middle2
Algorithm...: ILS (rnaMax=50K, itersP=50, p0=1, pMax=20)
Other params: maxIters=1000K, seed=1, timeLimit=10800.00s

    /------------------------------------------------------------\
    |     Iter |   Gap(%) |         S* |         S' |       Time | 
    |----------|----------|------------|------------|------------|
Academic license - for non-commercial use only - expires 2021-06-11
    |        0 |        - |    17_7428 |    17_7428 |       0.67 | s0
    | ILS perturbation level=1                      |     213.42 | 
    |      50K |        - |    17_7428 |    38_7312 |     213.42 | p-1
    |      50K |        - |    29_7313 |    29_7313 |     213.42 | *
    |      50K |        - |    25_7275 |    25_7275 |     213.48 | *
    |      53K |        - |    24_7290 |    24_7290 |     215.79 | *
    |      54K |        - |    23_7324 |    23_7324 |     217.62 | *
    |      54K |        - |    20_7322 |    20_7322 |     218.39 | *
    |      54K |        - |    20_7308 |    20_7308 |     218.39 | *
    |      55K |        - |    19_7553 |    19_7553 |     219.76 | *
    |      55K |        - |    18_7448 |    18_7448 |     220.02 | *
    |      55K |        - |    17_7428 |    17_7428 |     220.36 | *
    |     100K |        - |    17_7428 |    17_7428 |     401.96 | 
    |     105K |        - |    17_7428 |    17_7428 |     404.13 | p-1
    | ILS perturbation level=1                      |     404.13 | 
    |     105K |        - |    17_7428 |    70_7367 |     404.13 | p-1
    |     106K |        - |    62_7399 |    62_7399 |     438.78 | *
    |     106K |        - |    59_7398 |    59_7398 |     438.82 | *
    |     106K |        - |    57_7403 |    57_7403 |     538.96 | *
    |     106K |        - |    56_7390 |    56_7390 |     538.96 | *
    |     106K |        - |    53_7259 |    53_7259 |     559.33 | *
    |     106K |        - |    50_7334 |    50_7334 |     559.39 | *
    |     107K |        - |    49_7349 |    49_7349 |     559.56 | *
    |     107K |        - |    48_7251 |    48_7251 |     559.59 | *
    |     108K |        - |    47_7366 |    47_7366 |     560.70 | *
    |     109K |        - |    45_7310 |    45_7310 |     568.00 | *
    |     109K |        - |    40_7284 |    40_7284 |     569.00 | *
    |     110K |        - |    37_7248 |    37_7248 |     609.65 | *
    |     110K |        - |    37_7243 |    37_7243 |     609.66 | *
    |     111K |        - |    37_7227 |    37_7227 |     609.90 | *
    |     134K |        - |    35_7281 |    35_7281 |     633.30 | *
    |     142K |        - |    34_7282 |    34_7282 |     639.22 | *
    |     192K |        - |    17_7428 |    34_7282 |     673.52 | p-1
    | ILS perturbation level=1                      |     673.52 | 
    |     192K |        - |    17_7428 |    98_7718 |     673.52 | p-1
    |     192K |        - |    97_7723 |    97_7723 |     673.54 | *
    |     192K |        - |    97_7704 |    97_7704 |     673.54 | *
    |     192K |        - |    95_7694 |    95_7694 |     673.55 | *
    |     193K |        - |    83_7736 |    83_7736 |     674.60 | *
    |     193K |        - |    74_7756 |    74_7756 |     674.63 | *
    |     193K |        - |    72_7760 |    72_7760 |     675.74 | *
    |     193K |        - |    72_7716 |    72_7716 |     675.77 | *
    |     193K |        - |    64_7751 |    64_7751 |     677.60 | *
    |     193K |        - |    63_7746 |    63_7746 |     677.60 | *
    |     194K |        - |    60_7745 |    60_7745 |     677.76 | *
    |     194K |        - |    60_7735 |    60_7735 |     677.83 | *
    |     194K |        - |    57_7815 |    57_7815 |     679.79 | *
    |     195K |        - |    52_7501 |    52_7501 |     681.77 | *
    |     195K |        - |    52_7500 |    52_7500 |     681.82 | *
    |     195K |        - |    51_7480 |    51_7480 |     681.84 | *
    |     195K |        - |    49_7471 |    49_7471 |     682.18 | *
    |     200K |        - |    49_7471 |    49_7471 |     691.63 | 
    |     200K |        - |    36_7517 |    36_7517 |     756.47 | *
    |     207K |        - |    34_7345 |    34_7345 |     774.58 | *
    |     239K |        - |    33_7470 |    33_7470 |     908.31 | *
    |     289K |        - |    17_7428 |    33_7470 |     946.06 | p-1
    | ILS perturbation level=1                      |     946.06 | 
    |     289K |        - |    17_7428 |    63_7328 |     946.06 | p-1
    |     289K |        - |    61_7318 |    61_7318 |     946.40 | *
    |     289K |        - |    56_7313 |    56_7313 |     946.42 | *
    |     289K |        - |    54_7314 |    54_7314 |     946.84 | *
    |     290K |        - |    53_7319 |    53_7319 |     947.34 | *
    |     290K |        - |    29_7519 |    29_7519 |     947.38 | *
    |     291K |        - |    25_7514 |    25_7514 |     947.48 | *
    |     297K |        - |    19_7489 |    19_7489 |     950.99 | *
    |     297K |        - |    18_7448 |    18_7448 |     950.99 | *
    |     298K |        - |    17_7428 |    17_7428 |     951.37 | *
    |     300K |        - |    17_7428 |    17_7428 |     952.66 | 
    |     348K |        - |    17_7428 |    17_7428 |     974.47 | p-1
    | ILS perturbation level=1                      |     974.47 | 
    |     348K |        - |    17_7428 |    57_7453 |     974.47 | p-1
    |     348K |        - |    46_7438 |    46_7438 |     974.49 | *
    |     348K |        - |    28_7413 |    28_7413 |     974.84 | *
    |     348K |        - |    17_7428 |    17_7428 |     975.17 | *
